"","x"
"1",208500
"2",181500
"3",223500
"4",200000
"5",118000
"6",129500
"7",345000
"8",144000
"9",279500
"10",157000
"11",90000
"12",325300
"13",139400
"14",230000
"15",129900
"16",154000
"17",256300
"18",306000
"19",207500
"20",40000
"21",149350
"22",179900
"23",277500
"24",309000
"25",145000
"26",153000
"27",109000
"28",170000
"29",144000
"30",130250
"31",141000
"32",319900
"33",249700
"34",113000
"35",127000
"36",177000
"37",114500
"38",110000
"39",385000
"40",172500
"41",438780
"42",101000
"43",202500
"44",317000
"45",180000
"46",226000
"47",80000
"48",225000
"49",129500
"50",185000
"51",107400
"52",135750
"53",127000
"54",136500
"55",110000
"56",153500
"57",245000
"58",126500
"59",174000
"60",164500
"61",85000
"62",123600
"63",109900
"64",98600
"65",163500
"66",204750
"67",185000
"68",214000
"69",94750
"70",83000
"71",198900
"72",169500
"73",250000
"74",100000
"75",115000
"76",115000
"77",190000
"78",136900
"79",180000
"80",383970
"81",217000
"82",259500
"83",176000
"84",155000
"85",320000
"86",163990
"87",180000
"88",100000
"89",136000
"90",181000
"91",128000
"92",87000
"93",155000
"94",226000
"95",244000
"96",180000
"97",143000
"98",171000
"99",230000
"100",260000
"101",166000
"102",125000
"103",130000
"104",105000
"105",115000
"106",190000
"107",235000
"108",79000
"109",109500
"110",269500
"111",254900
"112",162500
"113",412500
"114",103200
"115",127500
"116",190000
"117",325624
"118",183500
"119",228000
"120",163000
"121",184000
"122",243000
"123",172500
"124",501837
"125",100000
"126",200000
"127",127000
"128",475000
"129",135000
"130",153337
"131",286000
"132",315000
"133",130000
"134",127000
"135",148500
"136",311872
"137",235000
"138",104000
"139",149000
"140",110000
"141",143900
"142",141000
"143",277000
"144",145000
"145",186000
"146",156000
"147",161750
"148",134450
"149",210000
"150",204900
"151",200000
"152",179900
"153",386250
"154",106000
"155",192500
"156",148000
"157",94500
"158",128200
"159",89500
"160",194500
"161",262500
"162",120000
"163",205000
"164",137000
"165",140000
"166",180000
"167",277000
"168",76500
"169",235000
"170",173000
"171",158000
"172",230000
"173",207500
"174",231500
"175",176000
"176",276000
"177",151000
"178",130000
"179",73000
"180",175500
"181",185000
"182",179500
"183",266000
"184",241500
"185",290000
"186",139000
"187",205000
"188",141000
"189",415298
"190",192000
"191",228500
"192",185000
"193",244600
"194",179200
"195",88000
"196",122000
"197",153575
"198",131000
"199",235000
"200",167000
"201",239000
"202",175000
"203",158500
"204",267000
"205",205000
"206",82500
"207",360000
"208",165600
"209",119900
"210",375000
"211",178000
"212",188500
"213",260000
"214",260000
"215",187500
"216",342643
"217",126175
"218",242000
"219",87000
"220",324000
"221",145250
"222",214500
"223",119000
"224",139000
"225",192000
"226",228950
"227",214000
"228",155000
"229",87500
"230",140200
"231",151500
"232",157500
"233",437154
"234",318061
"235",95000
"236",177500
"237",173000
"238",134000
"239",130000
"240",145000
"241",198500
"242",118000
"243",147000
"244",159000
"245",132000
"246",172400
"247",134432
"248",125000
"249",123000
"250",61000
"251",148000
"252",340000
"253",394432
"254",127000
"255",187750
"256",213500
"257",76000
"258",192000
"259",81000
"260",125000
"261",426000
"262",119000
"263",215000
"264",106500
"265",100000
"266",109000
"267",129000
"268",123000
"269",169500
"270",67000
"271",241000
"272",245500
"273",258000
"274",168000
"275",150000
"276",177000
"277",280000
"278",60000
"279",222000
"280",149500
"281",239000
"282",126000
"283",142000
"284",206300
"285",215000
"286",113000
"287",139000
"288",135000
"289",275000
"290",109008
"291",195400
"292",175000
"293",212000
"294",119000
"295",110000
"296",555000
"297",162900
"298",210000
"299",127500
"300",120000
"301",280000
"302",204000
"303",210000
"304",175500
"305",161000
"306",110000
"307",263435
"308",155000
"309",62383
"310",188700
"311",178740
"312",167000
"313",187000
"314",190000
"315",251000
"316",132500
"317",208900
"318",297000
"319",89471
"320",374000
"321",155000
"322",164000
"323",132500
"324",147000
"325",175000
"326",160000
"327",86000
"328",133000
"329",172785
"330",91300
"331",34900
"332",430000
"333",184000
"334",120000
"335",113000
"336",226700
"337",140000
"338",289000
"339",147000
"340",215000
"341",208300
"342",161000
"343",202665
"344",134000
"345",96500
"346",402861
"347",106250
"348",150000
"349",159000
"350",132000
"351",446261
"352",86000
"353",200624
"354",175000
"355",128000
"356",107500
"357",39300
"358",107500
"359",188000
"360",111250
"361",272000
"362",315000
"363",229000
"364",129500
"365",263000
"366",108000
"367",284000
"368",141000
"369",108000
"370",234000
"371",121500
"372",170000
"373",268000
"374",128000
"375",214000
"376",135960
"377",142600
"378",120000
"379",224500
"380",139000
"381",145000
"382",181900
"383",253293
"384",118500
"385",325000
"386",369900
"387",130000
"388",137000
"389",143000
"390",79500
"391",185900
"392",138000
"393",140000
"394",110000
"395",319000
"396",114504
"397",194201
"398",217500
"399",151000
"400",275000
"401",141000
"402",220000
"403",151000
"404",359100
"405",118500
"406",313000
"407",148000
"408",261500
"409",75500
"410",137500
"411",183200
"412",105500
"413",305000
"414",67000
"415",240000
"416",135000
"417",168500
"418",165150
"419",160000
"420",153000
"421",135000
"422",168500
"423",124000
"424",82500
"425",144000
"426",60000
"427",85000
"428",264561
"429",274000
"430",226000
"431",152000
"432",143250
"433",98300
"434",155000
"435",155000
"436",84500
"437",205950
"438",108000
"439",191000
"440",135000
"441",350000
"442",88000
"443",145500
"444",149000
"445",167000
"446",197900
"447",402000
"448",110000
"449",230500
"450",129000
"451",193500
"452",137500
"453",173500
"454",103600
"455",165000
"456",257500
"457",140000
"458",148500
"459",87000
"460",109500
"461",372500
"462",159434
"463",285000
"464",221000
"465",207500
"466",227875
"467",148800
"468",194700
"469",141000
"470",755000
"471",108480
"472",141500
"473",176000
"474",89000
"475",123500
"476",196000
"477",312500
"478",361919
"479",140000
"480",213000
"481",55000
"482",302000
"483",254000
"484",179540
"485",109900
"486",189000
"487",129000
"488",159500
"489",157000
"490",341000
"491",275000
"492",143000
"493",124500
"494",135000
"495",320000
"496",120500
"497",222000
"498",194500
"499",236500
"500",131400
"501",163000
"502",93500
"503",239900
"504",190000
"505",132000
"506",142000
"507",179000
"508",175000
"509",299800
"510",265979
"511",260400
"512",96500
"513",162000
"514",217000
"515",179400
"516",290000
"517",100000
"518",215200
"519",337000
"520",264132
"521",160000
"522",216837
"523",134900
"524",102000
"525",107000
"526",114500
"527",162000
"528",221500
"529",142500
"530",144000
"531",135000
"532",187100
"533",165500
"534",128000
"535",161500
"536",139000
"537",160200
"538",146800
"539",269790
"540",225000
"541",194500
"542",171000
"543",110000
"544",485000
"545",175000
"546",189000
"547",582933
"548",118000
"549",227680
"550",223500
"551",159950
"552",106000
"553",181000
"554",144500
"555",55993
"556",157900
"557",116000
"558",224900
"559",137000
"560",271000
"561",155000
"562",224000
"563",183000
"564",93000
"565",139500
"566",385000
"567",109500
"568",189000
"569",185000
"570",147400
"571",166000
"572",151000
"573",237000
"574",167000
"575",128000
"576",153500
"577",100000
"578",144000
"579",130500
"580",140000
"581",157500
"582",174900
"583",141000
"584",153900
"585",171000
"586",133500
"587",187000
"588",131500
"589",215000
"590",158000
"591",170000
"592",147000
"593",174000
"594",152000
"595",250000
"596",189950
"597",131500
"598",152000
"599",132500
"600",250580
"601",248900
"602",129000
"603",169000
"604",236000
"605",109500
"606",200500
"607",133000
"608",66500
"609",132250
"610",136500
"611",157000
"612",118500
"613",100000
"614",328900
"615",145000
"616",268000
"617",122900
"618",172500
"619",165000
"620",118858
"621",140000
"622",106500
"623",142953
"624",611657
"625",135000
"626",110000
"627",180000
"628",240000
"629",128000
"630",250000
"631",174000
"632",143500
"633",88000
"634",75000
"635",135000
"636",238000
"637",176500
"638",169990
"639",193000
"640",207500
"641",175000
"642",285000
"643",176000
"644",236500
"645",222000
"646",201000
"647",117500
"648",190000
"649",242000
"650",79900
"651",184900
"652",253000
"653",239799
"654",244400
"655",150900
"656",143000
"657",137500
"658",124900
"659",270000
"660",192500
"661",129000
"662",127500
"663",124000
"664",185000
"665",155000
"666",116500
"667",272000
"668",214900
"669",178900
"670",160000
"671",135000
"672",37900
"673",140000
"674",135000
"675",173000
"676",99500
"677",167500
"678",85500
"679",199900
"680",110000
"681",139000
"682",178400
"683",159895
"684",126000
"685",125000
"686",117000
"687",395192
"688",168000
"689",187000
"690",337500
"691",136500
"692",185000
"693",86000
"694",232000
"695",136905
"696",181000
"697",163500
"698",88000
"699",240000
"700",102000
"701",135000
"702",100000
"703",85000
"704",227000
"705",203000
"706",187500
"707",160000
"708",176000
"709",194000
"710",87000
"711",191000
"712",287000
"713",167500
"714",105000
"715",118000
"716",160000
"717",310000
"718",230000
"719",119750
"720",84000
"721",315500
"722",287000
"723",155000
"724",173000
"725",262280
"726",278000
"727",556581
"728",176485
"729",165000
"730",144500
"731",185850
"732",248000
"733",335000
"734",220000
"735",81000
"736",90000
"737",110500
"738",154000
"739",328000
"740",178000
"741",167900
"742",151400
"743",135000
"744",135000
"745",154000
"746",194000
"747",170000
"748",155900
"749",126000
"750",145000
"751",192000
"752",160000
"753",187500
"754",147000
"755",83500
"756",252000
"757",137500
"758",197000
"759",92900
"760",160000
"761",146000
"762",176432
"763",127000
"764",170000
"765",128000
"766",157000
"767",106000
"768",179900
"769",274725
"770",280000
"771",205000
"772",129900
"773",117000
"774",140000
"775",133700
"776",118400
"777",212900
"778",112000
"779",163900
"780",115000
"781",174000
"782",215000
"783",140000
"784",135000
"785",93500
"786",117500
"787",239500
"788",169000
"789",102000
"790",119000
"791",94000
"792",144000
"793",139000
"794",197500
"795",424870
"796",80000
"797",80000
"798",149000
"799",180000
"800",174500
"801",143000
"802",124000
"803",149900
"804",230000
"805",201800
"806",218000
"807",179900
"808",235128
"809",185000
"810",146000
"811",224000
"812",129000
"813",108959
"814",194000
"815",173000
"816",235000
"817",625000
"818",171000
"819",163000
"820",200500
"821",239000
"822",119500
"823",115000
"824",154900
"825",392500
"826",745000
"827",186700
"828",104900
"829",95000
"830",262000
"831",195000
"832",189000
"833",168000
"834",174000
"835",125000
"836",165000
"837",158000
"838",176000
"839",219210
"840",144000
"841",178000
"842",148000
"843",116050
"844",117000
"845",271900
"846",107000
"847",164000
"848",113000
"849",145000
"850",134500
"851",125000
"852",229456
"853",91500
"854",143000
"855",137900
"856",214000
"857",190000
"858",132500
"859",101800
"860",130000
"861",142500
"862",265900
"863",224900
"864",248328
"865",170000
"866",465000
"867",230000
"868",186500
"869",169900
"870",244000
"871",171750
"872",130000
"873",165400
"874",127500
"875",301500
"876",99900
"877",190000
"878",151000
"879",181000
"880",180500
"881",181000
"882",183900
"883",122000
"884",381000
"885",144000
"886",185750
"887",137000
"888",177000
"889",139000
"890",137000
"891",197900
"892",237000
"893",227000
"894",180000
"895",139000
"896",169000
"897",132500
"898",143000
"899",190000
"900",278000
"901",180500
"902",119500
"903",107500
"904",138500
"905",155000
"906",140000
"907",160000
"908",225000
"909",177500
"910",290000
"911",232000
"912",130000
"913",325000
"914",202500
"915",138000
"916",147000
"917",179200
"918",203000
"919",302000
"920",333168
"921",119000
"922",206900
"923",208900
"924",275000
"925",111000
"926",156500
"927",72500
"928",190000
"929",82500
"930",147000
"931",55000
"932",79000
"933",130500
"934",176500
"935",227000
"936",100000
"937",125500
"938",125000
"939",167900
"940",135000
"941",52500
"942",200000
"943",123000
"944",155000
"945",228500
"946",177000
"947",155835
"948",108500
"949",262500
"950",283463
"951",134900
"952",235000
"953",170000
"954",110000
"955",149900
"956",315000
"957",189000
"958",260000
"959",104900
"960",156932
"961",216000
"962",193000
"963",144000
"964",250000
"965",91000
"966",117000
"967",83000
"968",237500
"969",157000
"970",112000
"971",105000
"972",125500
"973",250000
"974",131000
"975",123000
"976",163000
"977",246578
"978",160000
"979",138000
"980",120000
"981",193000
"982",193879
"983",282922
"984",105000
"985",275000
"986",133000
"987",125500
"988",215000
"989",230000
"990",140000
"991",90000
"992",257000
"993",207000
"994",340000
"995",124000
"996",223000
"997",179900
"998",127500
"999",142000
"1000",271000
"1001",140000
"1002",119000
"1003",182900
"1004",192140
"1005",143750
"1006",160000
"1007",174000
"1008",120500
"1009",394617
"1010",197000
"1011",310000
"1012",121000
"1013",179600
"1014",157900
"1015",240000
"1016",112000
"1017",287090
"1018",145000
"1019",84500
"1020",185000
"1021",175000
"1022",210000
"1023",266500
"1024",142125
